    -1.286      1.593     -1.203     -0.064     -0.579      1.483      0.500      0.269      0.758     -0.500 94578646
     1.112      2.744      0.409      1.185      0.452      0.316     -0.500     -1.063     -0.742      0.500 91584923
     0.663     -1.019      1.574      0.223     -2.718     -0.517      0.500      0.230      2.258     -0.500 90579987
     0.933     -0.717     -0.025      0.006     -1.209      0.566     -0.500      0.457      0.758     -0.500 99573836
     0.575     -1.019      1.101      0.939     -0.350      0.400      0.500     -0.566      0.258     -0.500 90579296
    -0.156     -0.686      0.192      0.898      0.915      0.900     -0.500     -0.268     -0.742     -0.500 96572669
     0.343     -0.686     -1.862     -1.087     -1.215      0.816     -0.500     -0.038      0.258     -0.500 99576513
    -0.473     -1.019      0.192      0.006      0.385      0.400     -0.500     -0.406      0.258     -0.500 98676153
     0.123     -1.019      1.123     -0.247      1.261     -0.684     -0.500     -0.146      1.758     -0.500 95579989
    -0.389      0.219     -0.271     -1.942      0.044      1.483      0.500     -0.146     -0.742     -0.500 90572804
    -0.950      1.482     -0.947     -1.180      0.645     -0.517     -0.500     -0.370     -0.742      0.500 91588967
     0.130     -1.019      0.686      0.366     -1.574     -0.600      0.500      0.012      0.758     -0.500 92575331
    -0.305     -0.443      0.205     -0.083     -1.615     -0.684      0.500     -0.236     -0.742     -0.500 91578240
    -0.252     -0.384     -2.325     -0.289     -0.487      0.483      0.500      0.616     -0.742     -0.500 96579941
    -0.890     -0.020     -0.717      0.407      0.056      2.733     -0.500     -0.611     -0.742      0.500 91508948
    -5.027      0.465     -1.195     -0.813     -0.393     -1.267     -0.500      0.753      2.258      0.500 91577321
     0.220     -0.051      0.214      0.366      0.581     -2.267     -0.500     -0.757     -0.742     -0.500 91583915
     0.657      2.523          *     -0.239     -0.286      1.566     -0.500     -0.268     -0.742     -0.500 91578340
     0.554     -1.019     -0.479     -1.461      0.286     -1.517      0.500      0.561     -0.242     -0.500 91582938
    -0.286      0.604     -0.964      0.939     -0.108      2.483      0.500     -0.524     -0.742     -0.500 95575153
    -0.047     -1.019     -0.272      0.653      0.033      0.316     -0.500      0.913     -1.242     -0.500 96570090
    -1.645      0.250     -0.262     -0.935     -1.253     -0.767     -0.500      0.012      1.258      0.500 92504528
    -0.571     -1.019      0.192      0.244     -0.193     -1.600      0.500     -1.063     -1.742      0.500 94570229
    -0.619      2.190     -2.579     -0.167     -0.906      1.483     -0.500      0.693     -0.742      0.500 96573417
     1.112     -0.020      0.197     -0.648     -0.419      1.400      0.500      0.012      2.258      0.500 95570185
     1.149     -1.019      1.340      0.694     -0.488     -3.100      0.500     -0.444     -0.242     -0.500 96573213
    -3.495      2.523     -0.452      0.898      1.944     -1.767      0.500     -0.268     -0.242     -0.500 97571318
     0.323     -0.083      1.110      0.653      1.271     -0.600      0.500      0.230     -0.742     -0.500 96614176
     0.700     -1.019      0.178      1.185      0.666     -2.684      0.500      0.012     -0.242     -0.500 92570025
     1.112      0.826          *     -2.229     -0.426      0.066     -0.500     -0.566     -1.742      0.500 91571703
     0.367     -0.717     -0.710     -0.125      0.693     -1.184      0.500     -0.869     -0.742     -0.500 98504581
     0.472     -0.717      0.430      0.293     -0.089      0.400     -0.500      0.169     -0.742     -0.500 95504188
    -0.797      0.878      0.859      0.366      0.512     -1.767      0.500      0.127     -0.742      0.500 91684977
    -0.275      0.878     -0.712     -0.125      0.653      3.066     -0.500      0.409      0.258     -0.500 96573013
    -0.688      2.523     -0.241     -1.180      0.561      2.566     -0.500      0.561     -0.242     -0.500 97608172
     0.453     -0.384      0.187     -1.180      1.358      0.983      0.500     -0.118      0.258     -0.500 93570983
     0.062     -1.019     -0.686      0.006      1.088      3.233     -0.500      0.269      0.258     -0.500 92572298
     0.480     -1.019      0.425      1.185      1.464     -1.267      0.500      0.409      0.758     -0.500 91886904
    -0.110     -0.717     -0.020     -1.610     -0.627      1.816     -0.500      0.376     -0.242     -0.500 92578643
    -1.596      1.222     -0.942      0.120      0.715      1.150     -0.500      0.561      0.758     -0.500 92578936
